id,barcode,toothpasteName,imageUrl,manufacturer,importer,distributor,toothpasteType,ingredients,ageGroup,labelWarnings,containsFluoride,fluorideAmountLabeled,fluorideAmount,benefits,
1,8850006930977,ยาสีฟันคอลเกต รุ่น บาร์บี้ และแบทแมน,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture1.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,"Sorbitol, Water, Hydrated Silica, PEG-12, Flavor, Cellulose Gum, Tetrasodium Pyrophosphate, Sodium Lauryl Sulfate, Tetrasodium Pyrophosphate, Sodium Saccharin, Sodium Fluoride, CI42090",ยาสีฟันสำหรับเด็กอายุ 2-6 ปี,"ห้ามกลืน, ล้างปากด้วยน้ำเปล่าและบ้านทิ้งหลังแปรงฟัน, ควรระมัดระวังปริมาณน้ำตาล, ควรพบทันตแพทย์อย่างน้อยปีละครั้ง, มีสารโซเดียมฟลูออไรด์, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาสีฟันปริมาณเท่าเมล็ดถั่วเขียวและควรมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,1,590 (0.1313 % w/w),ป้องกันฟันผุ,
2,6920354817748,ยาสีฟันคอลเกต รุ่น คิดส์ มิกซ์ เคส สตรอเบอร์รี่,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture2.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,,ยาสีฟันสำหรับเด็กอายุ 2-5 ปี,,1,1,1000,ป้องกันฟันผุ,
3,8850006941867,ยาสีฟันคอลเกต รุ่น มินเนี่ยน กลิ่นสตอเบอรี่,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture3.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,"Sorbital, Water, Hydrated Silica, PEG-12, Cellulose Gum, Sodium Lauryl Sulfate, Tretasodium Pyrophosphate, Flavor, Sodium Saccharin, Sodium Fluoride, Benzyl Alcohol, CI16035, CI17200",ยาสีฟันสำหรับเด็กอายุ 2 ปีขึ้นไป,"ห้ามกลืน, ล้างปากด้วยน้ำเปล่าและบ้านทิ้งหลังแปรงฟัน, ควรระมัดระวังปริมาณน้ำตาล, ควรพบทันตแพทย์อย่างน้อยปีละครั้ง, มีสารโซเดียมฟลูออไรด์, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาสีฟันปริมาณเท่าเมล็ดถั่วเขียวและควรมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,1,1000,ป้องกันฟันผุ,
4,8850006342152,ยาสีฟันคอลเกต รุ่น มินเนี่ยน กลิ่นมายด์มิ้นท์,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture4.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,"Sorbital, Water, Hydrated Silica, Sodium Lauryl Sulfate, PEG-12, Flavor, Cellulose Gum, Tretasodium Pyrophosphate,  Sodium Saccharin, Sodium Fluoride, CI42090",ยาสีฟันสำหรับเด็กอายุ 6 ปีขึ้นไป,"ห้ามกลืน, ล้างปากด้วยน้ำเปล่าและบ้านทิ้งหลังแปรงฟัน, ควรระมัดระวังปริมาณน้ำตาล, ควรพบทันตแพทย์อย่างน้อยปีละครั้ง, มีสารโซเดียมฟลูออไรด์, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาสีฟันปริมาณเท่าเมล็ดถั่วเขียวและควรมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,1,1000,ป้องกันฟันผุ,
5,8850006341537,ยาสีฟันคอลเกต รุ่น เกลือ ถ่านชาร์โคล,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture5.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,"Water, Calcium Carbonate, Sorbitol, Sodium Chloride, Hydrated Silica, Sodium Lauryl Sulfate, Flavor, Poloxamer 407, Cellulose Gum, Sodium Monofluorophosphate, Sodium Carbonate, Sodium Saccharin, Xantan Gum, Sodium Bicarbonate, Charcoal Powder",ไม่ระบุ,"มีสาร Sodium Monofluorophosphate, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,0,-,"ลดการสะสมของแบคทีเรีย, ป้องกันฟันผุ, ดูแลสุขภาพเหงือก",
6,8850006936603,ยาสีฟันคอลเกต รุ่น เกลือ สมุนไพร,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture6.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันสมุนไพรผสมฟลูออไรด์,"Calcium Carbonate, Water, Sorbitol, Sodium Chloride, Hydrated Silica, Sodium Lauryl Sulfate, Flavor, Poloxamer 407, Sodium Monofluorophosphate, Cellulose Gum, Sodium Carbonate, Benzyl Alcohol, Sodium Saccharin, Xanthan Gum, Sodium Bicarbonate, CI74160, Lonicera Japonica Flower Extract",ไม่ระบุ,"มีสาร Sodium Monofluorophosphate, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,0,-,"ลดการสะสมของแบคทีเรีย, ป้องกันฟันผุ, ดูแลสุขภาพเหงือก",
7,6920354828973,ยาสีฟันคอลเกต รุ่น เกลือหิมาลายัน,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture7.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศจีน) จำกัด ,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์," Water, Calcium Carbonate, Sorbitol, Sodium Chloride, Sodium Lauryl Sulfate, Sodium Carbonate, Hydrated Silica,  Flavor, Poloxamer 407, Sodium Monofluorophosphate, Cellulose Gum, Xanthan Gum, Sodium Saccharin, Sodium Bicarbonate",ไม่ระบุ,"มีสาร Sodium Monofluorophosphate, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,1,1000,"ทำให้ฟันขาว, ลดการสะสมของแบคทีเรีย, ป้องกันฟันผุ, ดูแลสุขภาพเหงือก",
8,8850006324783,ยาสีฟันคอลเกต รุ่น เกลือ เอ๊กซ์ตร้า เฟรช,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture8.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,"Water, Calcium Carbonate, Sorbitol, Sodium Chloride, Hydrated Silica, Sodium Lauryl Sulfate, Flavor, Poloxamer 407, Cellulose Gum, Sodium Monofluorophosphate, Sodium Carbonate, Sodium Saccharin, Xanthan Gum, Sodium Bicarbonate, CI74160, CI42051",ไม่ระบุ,"มีสาร Sodium Monofluorophosphate, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,0,-,"ลดการสะสมของแบคทีเรีย, ป้องกันฟันผุ, ดูแลสุขภาพเหงือก",
9,8850006951415,ยาสีฟันคอลเกต รุ่น เกลือ ไวท์เทนนิ่ง,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture9.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,"Calcium Carbonate, Water, Sorbitol, Sodium Chloride, Hydrated Silica, Sodium Lauryl Sulfate, Sodium Carbonate, Flavor, Poloxamer 407, Sodium Monofluorophosphate, Cellulose Gum, Sodium Saccharin, Xanthan Gum, Sodium Bicarbonate, Silica, CI74260",ไม่ระบุ,"มีสาร Sodium Monofluorophosphate, เด็กอายุต่ำกว่า 6 ปีควรใช้ยาปริมาณเท่าเมล็ดถั่วเขียวและมีผู้ใหญ่ดูแลขณะแปรงฟัน ในกรณีที่เด็กได้รับสารฟลูออไรด์จากแหล่งอื่นด้วยให้ปรึกษาแพทย์หรือทันตแพทย์",1,0,-,"ทำให้ฟันขาว, ลดการสะสมของแบคทีเรีย, ป้องกันฟันผุ, ดูแลสุขภาพเหงือก",
10,,ยาสีฟันคอลเกต รุ่น เกลือ ทาร์ทาร์ แคร์,https://raw.githubusercontent.com/dental-anamai/toothpaste-anamai/e216355abfa785c574b00a9555cdc9802969e938/public/toothpaste-images/Picture10.png,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,-,บริษัท คอลเกต-ปาล์โอลีฟ (ประเทศไทย) จำกัด ,ยาสีฟันผสมฟลูออไรด์,,ไม่ระบุ,,1,,,,
